inputName,outputName
Asclepias oenotheroides,Asclepias oenotheroides
Asclepias pumila,Asclepias pumila
Asclepias rusbyi,Asclepias rusbyi
Asclepias speciosa,Asclepias speciosa
Asclepias stenophylla,Asclepias stenophylla
Asclepias subverticillata,Asclepias subverticillata
Asclepias tuberosa ssp. interior,Asclepias tuberosa ssp. interior
Asclepias tuberosa ssp. terminalis,Asclepias tuberosa ssp. interior
Asclepias uncialis,Asclepias uncialis ssp. uncialis
Asclepias uncialis ssp. uncialis,Asclepias uncialis ssp. uncialis
Asclepias viridiflora,Asclepias viridiflora
Askellia nana,Askellia pygmaea
Asparagus officinalis,Asparagus officinalis
Asperugo procumbens,Asperugo procumbens
Asplenium adiantum-nigrum,Asplenium adiantum-nigrum
Asplenium platyneuron,Asplenium platyneuron
Asplenium resiliens,Asplenium resiliens
Asplenium septentrionale,Asplenium septentrionale
Asplenium trichomanes,Asplenium trichomanes ssp. trichomanes
Asplenium trichomanes ssp. trichomanes,Asplenium trichomanes ssp. trichomanes
Asplenium trichomanes-ramosum,Asplenium viride
Asplenium viride,Asplenium viride
Aster alpinus var. vierhapperi,Aster alpinus var. vierhapperi
Aster bracteolatus,Symphyotrichum eatonii
Aster foliaceus,Symphyotrichum foliaceum
Aster junciformis,Symphyotrichum boreale
Aster laevis var. geyeri,Symphyotrichum laeve var. geyeri
Aster lanceolatus ssp. hesperius,Symphyotrichum lanceolatum ssp. hesperium
Aster porteri,Symphyotrichum porteri
Aster spathulatus,Symphyotrichum spathulatum
Astragalus adsurgens var. robustior,Astragalus laxmannii var. robustior
Astragalus agrestis,Astragalus agrestis
Astragalus allochrous var. playanus,Astragalus allochrous var. playanus
Astragalus alpinus,Astragalus alpinus
Astragalus americanus,Astragalus americanus
Astragalus amphioxys var. vespertinus,Astragalus amphioxys var. vespertinus
Astragalus anisus,Astragalus anisus
Astragalus aretioides,Astragalus aretioides
Astragalus argophyllus var. martinii,Astragalus argophyllus var. martinii
Astragalus asclepiadoides,Astragalus asclepiadoides
Astragalus australis,Astragalus australis
Astragalus australis var. glabriusculus,Astragalus australis
Astragalus bisulcatus,Astragalus bisulcatus
Astragalus bisulcatus var. bisulcatus,Astragalus bisulcatus var. bisulcatus
Astragalus bisulcatus var. haydenianus,Astragalus bisulcatus var. haydenianus
Astragalus bodinii,Astragalus bodinii
Astragalus brandegeei,Astragalus brandegeei
Astragalus brandegei,Astragalus brandegeei
Astragalus calycosus,Astragalus calycosus
Astragalus calycosus var. calycosus,Astragalus calycosus var. calycosus
Astragalus calycosus var. scaposus,Astragalus calycosus var. scaposus
Astragalus canadensis,Astragalus canadensis
Astragalus canadensis var. brevidens,Astragalus canadensis var. brevidens
Astragalus canadensis var. canadensis,Astragalus canadensis var. canadensis
Astragalus ceramicus,Astragalus ceramicus
Astragalus ceramicus var. ceramicus,Astragalus ceramicus var. ceramicus
Astragalus ceramicus var. filifolius,Astragalus ceramicus var. filifolius
Astragalus cerussatus,Astragalus cerussatus
Astragalus chamaeleuce,Astragalus chamaeleuce var. chamaeleuce
Astragalus chamaeleuce var. chamaeleuce,Astragalus chamaeleuce var. chamaeleuce
Astragalus chloodes,Astragalus chloodes
Astragalus cibarius,Astragalus cibarius
Astragalus cicer,Astragalus cicer
Astragalus coltonii,Astragalus coltonii
Astragalus coltonii var. coltonii,Astragalus coltonii var. coltonii
Astragalus coltonii var. moabensis,Astragalus coltonii var. moabensis
Astragalus convallarius,Astragalus convallarius
Astragalus crassicarpus,Astragalus crassicarpus
Astragalus cronquistii,Astragalus cronquistii
Astragalus debequaeus,Astragalus debequaeus
Astragalus desperatus,Astragalus desperatus
Astragalus desperatus var. desperatus,Astragalus desperatus var. desperatus
Astragalus desperatus var. neeseae,Astragalus desperatus var. neeseae
Astragalus deterior,Astragalus deterior
Astragalus detritalis,Astragalus detritalis
Astragalus drummondii,Astragalus drummondii
Astragalus duchesnensis,Astragalus duchesnensis
Astragalus eastwoodiae,Astragalus eastwoodiae
Astragalus eucosmus,Astragalus eucosmus
Astragalus falcatus,Astragalus falcatus
Astragalus flavus,Astragalus flavus
Astragalus flexuosus,Astragalus flexuosus
Astragalus flexuosus var. diehlii,Astragalus flexuosus var. diehlii
Astragalus flexuosus var. flexuosus,Astragalus flexuosus var. flexuosus
Astragalus flexuosus var. greenei,Astragalus flexuosus var. greenei
Astragalus frigidus var. americanus,Astragalus americanus
Astragalus fucatus,Astragalus fucatus
Astragalus geyeri,Astragalus geyeri var. geyeri
Astragalus geyeri var. geyeri,Astragalus geyeri var. geyeri
Astragalus gilviflorus,Astragalus gilviflorus
Astragalus gracilis,Astragalus gracilis
Astragalus hallii,Astragalus hallii var. hallii
Astragalus hallii var. hallii,Astragalus hallii var. hallii
Astragalus haydenianus,Astragalus bisulcatus var. haydenianus
Astragalus humillimus,Astragalus humillimus
Astragalus humistratus var. humistratus,Astragalus humistratus var. humistratus
Astragalus hyalinus,Astragalus hyalinus
Astragalus iodopetalus,Astragalus iodopetalus
Astragalus jejunus,Astragalus jejunus
Astragalus kentrophyta,Astragalus kentrophyta
Astragalus kentrophyta ssp. elatus,Astragalus kentrophyta var. elatus
Astragalus kentrophyta ssp. implexus,Astragalus kentrophyta var. tegetarius
Astragalus kentrophyta ssp. kentrophyta,Astragalus kentrophyta var. kentrophyta
Astragalus kentrophyta var. elatus,Astragalus kentrophyta var. elatus
Astragalus kentrophyta var. kentrophyta,Astragalus kentrophyta var. kentrophyta
Astragalus kentrophyta var. tegetarius,Astragalus kentrophyta var. tegetarius
Astragalus laxmannii,Astragalus laxmannii var. robustior
Astragalus laxmannii var. robustior,Astragalus laxmannii var. robustior
Astragalus lentiginosus,Astragalus lentiginosus
Astragalus lentiginosus var. chartaceus,Astragalus lentiginosus var. chartaceus
Astragalus lentiginosus var. diphysus,Astragalus lentiginosus var. diphysus
Astragalus lentiginosus var. palans,Astragalus lentiginosus var. palans
Astragalus leptaleus,Astragalus leptaleus
Astragalus linifolius,Astralus rafaelensis
Astragalus lonchocarpus,Astragalus lonchocarpus
Astragalus lotiflorus,Astragalus lotiflorus
Astragalus lutosus,Astragalus lutosus
Astragalus megacarpus,Astragalus megacarpus
Astragalus microcymbus,Astragalus microcymbus
Astragalus miser var. oblongifolius,Astragalus miser var. oblongifolius
Astragalus missouriensis,Astragalus missouriensis
